codigo_cliente;nome_cliente;idade_cliente;email_cliente
68;"Abbot Hart";66;Nullam.suscipit@adipiscing.net
44;"Abraham H. Peters";30;in@Utsagittislobortis.org
38;"Akeem K. Cotton";43;Maecenas@risus.edu
94;"Amena T. Sweeney";48;ac.fermentum@auctor.com
35;"Amery Jefferson";76;Maecenas.iaculis.aliquet@Maurisquisturpis.ca
7;"Anika Banks";18;ipsum@metusIn.ca
52;"Armand M. Marshall";93;Curae.Donec.tincidunt@Donec.com
41;"Aurelia O. Winters";94;Sed.dictum.Proin@egetlacusMauris.edu
39;"Basia Mcgee";99;at.sem@Donec.edu
49;"Bernard M. Daniel";63;diam@Fuscemollis.net
90;"Blaze Mcintosh";69;posuere@dictum.com
62;"Brandon A. Baxter";90;tortor.Integer@sociisnatoquepenatibus.co.uk
34;"Brielle Bates";74;tristique.pharetra@inmolestie.co.uk
37;"Bruno T. Blanchard";45;semper.egestas@sociisnatoquepenatibus.ca
69;"Brynne Z. Barrera";20;erat.nonummy@nonloremvitae.ca
29;"Caesar Hines";60;magna@risus.edu
56;"Caldwell Wiggins";18;et.euismod@aptent.edu
51;"Cameron Bowen";88;at.velit.Pellentesque@at.edu
45;"Casey J. Workman";59;ac.metus@imperdietornare.edu
17;"Cassandra Q. Torres";32;neque@elit.co.uk
74;"Chester B. Avery";23;vel@egetlacus.org
9;"Christen S. Mcdaniel";59;Integer.urna@tellusPhaselluselit.org
59;"Christian Osborne";44;sapien.Cras@liberolacus.co.uk
100;"Christian Pickett";34;tellus.sem.mollis@consequatnec.ca
12;"Clarke G. Graves";23;a@variusNamporttitor.net
40;"Clarke Q. Hendrix";30;vitae.erat.vel@massalobortisultrices.com
53;"Colin Barr";40;nec.mauris.blandit@mauris.org
10;"Courtney Wynn";68;erat.Vivamus.nisi@idrisus.com
99;"Dai Dixon";57;Maecenas@amet.co.uk
83;"Dalton Combs";33;Etiam@vel.co.uk
43;"Damian Landry";57;Cum@maurisid.edu
85;"Danielle Bowen";38;molestie.in@hendreritconsectetuer.net
91;"David E. Cooley";70;auctor.odio.a@euismodurnaNullam.net
57;"Delilah A. Delaney";40;In.nec.orci@ullamcorper.ca
18;"Duncan R. Green";23;pede.et@id.ca
65;"Eagan Carter";85;dignissim.Maecenas.ornare@semperauctorMauris.edu
50;"Eagan Slater";30;cursus.non@pharetraNam.ca
32;"Eaton Travis";89;commodo.at@lorem.net
67;"Elizabeth Christian";32;In.lorem@loremeu.org
46;"Emerald P. Allison";72;risus@conubianostra.net
14;"Evan Boone";25;aliquam.arcu@utpellentesque.edu
80;"Eve W. Giles";21;pede@molestiedapibusligula.edu
47;"Gannon Thompson";18;pede@ridiculus.edu
97;"Graiden Oliver";32;Donec.consectetuer@egestasFuscealiquet.ca
6;"Gretchen Bonner";94;vel@montes.edu
81;"Hashim J. Hayden";74;ante.dictum@Suspendisse.com
24;"Hayden L. Reed";77;erat.Sed.nunc@nuncidenim.edu
61;"Hunter Richard";92;a@convallisconvallis.co.uk
84;"Ian Cunningham";41;semper@bibendum.edu
20;"Ila Beach";65;quam.elementum.at@parturientmontes.net
87;"Iliana Y. Nielsen";86;penatibus@ut.net
30;"Illana S. Schroeder";100;nisl.sem@insodales.net
89;"Ivan Campos";71;Nullam.lobortis@mollisDuis.co.uk
60;"Jack Ortiz";84;a.sollicitudin@infelis.net
95;"Jade O. Casey";44;mollis.nec.cursus@aliquetsemut.edu
8;"Jakeem Ortiz";61;posuere.enim.nisl@dictumaugue.com
16;"Jenna Tucker";73;Suspendisse.aliquet.molestie@Aliquamnisl.net
86;"Joel D. Petty";23;erat.volutpat.Nulla@nulla.co.uk
92;"Joel R. Cummings";60;amet.consectetuer@Cras.com
11;"Jolene M. Prince";79;nec.urna.suscipit@euismod.net
102;"Jonah R. Noel";70;malesuada@velturpisAliquam.com
55;"Josephine Q. Leonard";26;nunc.est@dictumcursus.co.uk
28;"Juliet Bell";82;volutpat.ornare@sapien.edu
104;"Kamal Z. Herrera";26;cursus.Integer@gravida.org
73;"Kiayada V. Macias";62;eu@sedest.net
42;"Kyra M. Kline";53;at.iaculis@natoquepenatibuset.org
77;"Leonard Middleton";20;purus@vitae.org
71;"Leroy Cobb";76;consectetuer.mauris@utodio.co.uk
1;"Luciano Fontes";22;luciano.f@unibanco.com.br
5;"Lysandra M. Galloway";52;massa.Suspendisse@perinceptos.org
15;"Lysandra Webb";76;lectus.convallis@massanonante.edu
103;"Madison Butler";68;vulputate.dui.nec@per.com
19;"Martena G. Poole";68;ac.eleifend.vitae@lectusconvallisest.com
33;"Michael Hatfield";23;ultrices.posuere@mauris.net
64;"Michael Spears";41;sed.dui@nulla.org
66;"Montana Crosby";82;malesuada@purus.edu
79;"Noah Z. Ellis";20;ipsum@turpisegestas.edu
23;"Nolan Meyer";86;Suspendisse@Nullamvitae.com
22;"Ora J. Bowers";31;nisi.magna.sed@semegestas.edu
101;"Orla Y. Simmons";41;Duis@feugiatnon.org
21;"Penelope W. Barry";93;augue.porttitor@Phasellusvitae.org
31;"Phillip N. Kelly";85;montes.nascetur@nequeNullam.com
78;"Quemby M. Schwartz";93;Nulla.facilisis.Suspendisse@metusvitae.ca
48;"Rafael F. Carpenter";27;ut.pharetra.sed@Maurisvestibulumneque.edu
96;"Raphael Harris";29;Proin.eget.odio@sem.com
3;"Reginato Souza";28;reginato.s@unibanco.com.br
27;"Renee Chen";70;ante.ipsum.primis@justofaucibus.com
13;"Rooney Tran";40;fames.ac@ornareelit.ca
98;"Ryder M. Wright";20;eu@nuncIn.edu
58;"Sawyer Davidson";52;quis@felisadipiscing.ca
75;"Scott Cohen";49;nisi.a.odio@eratvolutpatNulla.net
63;"Scott R. Gates";24;arcu.Aliquam@Sed.edu
54;"Serena D. Horn";29;Morbi.vehicula.Pellentesque@atvelit.net
88;"Shana Velez";57;dignissim.magna.a@et.co.uk
25;"Shea Montgomery";88;vel.venenatis@Duis.edu
70;"Shellie Mcclure";63;dui.lectus.rutrum@consequatpurus.org
72;"Silas D. Glenn";84;urna@gravidamolestiearcu.com
93;"Steel Swanson";89;et.ipsum.cursus@Aliquamtinciduntnunc.edu
4;"Thayara Carvalho";19;thayara.c@unibanco.com.br
26;"Ulric C. Fleming";79;vestibulum@arcuvel.net
2;"Vanessa Chiarelli";20;vanessa.c@unibanco.com.br
82;"Violet Perez";61;imperdiet@vehiculaPellentesquetincidunt.ca
36;"Wyatt Sims";68;Duis.gravida@inceptoshymenaeosMauris.org
76;"Zachery K. Gamble";99;convallis.ligula.Donec@parturient.org
